benchmark,implementation,threads,time,parallelizable_loops,parallelized_loops,parallel_ir,omp_calls_out,fusion_applied_pairs,fusion_candidates,fusion_attempts,fusion_succeeded,fused_ir,br_i1_in,br_i1_out
fuse19_stride3,OriginalPass,4,0.006605,2,0,0,0,0,0,0,0,0,2,2
fuse19_stride3,OriginalPass,8,0.006617,2,0,0,0,0,0,0,0,0,2,2
fuse19_stride3,Fusion,2,0.007765,1,0,0,0,1,1,1,1,1,2,1
fuse19_stride3,Fusion,4,0.005196,1,0,0,0,1,1,1,1,1,2,1
fuse19_stride3,Fusion,8,0.005181,1,0,0,0,1,1,1,1,1,2,1
fuse19_stride3,Fusion+Shared,2,0.007595,1,0,0,0,1,1,1,1,1,2,1
fuse19_stride3,Fusion+Shared,4,0.005155,1,0,0,0,1,1,1,1,1,2,1
fuse19_stride3,Fusion+Shared,8,0.005180,1,0,0,0,1,1,1,1,1,2,1
fuse21_int_math_float_out,NoPass,1,0.009529,0,0,0,0,0,0,0,0,0,0,0
fuse21_int_math_float_out,OriginalPass,2,0.009554,2,0,0,0,0,0,0,0,0,2,2
fuse21_int_math_float_out,OriginalPass,4,0.006546,2,0,0,0,0,0,0,0,0,2,2
fuse21_int_math_float_out,OriginalPass,8,0.006549,2,0,0,0,0,0,0,0,0,2,2
fuse21_int_math_float_out,Fusion,2,0.007938,1,0,0,0,1,1,1,1,1,2,1
fuse21_int_math_float_out,Fusion,4,0.005478,1,0,0,0,1,1,1,1,1,2,1
fuse21_int_math_float_out,Fusion,8,0.005469,1,0,0,0,1,1,1,1,1,2,1
fuse21_int_math_float_out,Fusion+Shared,2,0.007982,1,0,0,0,1,1,1,1,1,2,1
fuse21_int_math_float_out,Fusion+Shared,4,0.005458,1,0,0,0,1,1,1,1,1,2,1
fuse21_int_math_float_out,Fusion+Shared,8,0.005475,1,0,0,0,1,1,1,1,1,2,1
fuse22_small_values,NoPass,1,0.014660,0,0,0,0,0,0,0,0,0,0,0
fuse22_small_values,OriginalPass,2,0.014620,2,0,0,0,0,0,0,0,0,2,2
fuse22_small_values,OriginalPass,4,0.010814,2,0,0,0,0,0,0,0,0,2,2
fuse22_small_values,OriginalPass,8,0.010861,2,0,0,0,0,0,0,0,0,2,2
fuse22_small_values,Fusion,2,0.010125,1,0,0,0,1,1,1,1,1,2,1
fuse22_small_values,Fusion,4,0.007149,1,0,0,0,1,1,1,1,1,2,1
fuse22_small_values,Fusion,8,0.007096,1,0,0,0,1,1,1,1,1,2,1
fuse22_small_values,Fusion+Shared,2,0.010109,1,0,0,0,1,1,1,1,1,2,1
fuse22_small_values,Fusion+Shared,4,0.007134,1,0,0,0,1,1,1,1,1,2,1
fuse22_small_values,Fusion+Shared,8,0.007127,1,0,0,0,1,1,1,1,1,2,1
fuse23_mixed_outputs,NoPass,1,0.009595,0,0,0,0,0,0,0,0,0,0,0
fuse23_mixed_outputs,OriginalPass,2,0.009401,2,0,0,0,0,0,0,0,0,2,2
fuse23_mixed_outputs,OriginalPass,4,0.006569,2,0,0,0,0,0,0,0,0,2,2
fuse23_mixed_outputs,OriginalPass,8,0.006551,2,0,0,0,0,0,0,0,0,2,2
fuse23_mixed_outputs,Fusion,2,0.005864,1,0,0,0,1,1,1,1,1,2,1
fuse23_mixed_outputs,Fusion,4,0.003792,1,0,0,0,1,1,1,1,1,2,1
fuse23_mixed_outputs,Fusion,8,0.003808,1,0,0,0,1,1,1,1,1,2,1
fuse23_mixed_outputs,Fusion+Shared,2,0.005820,1,0,0,0,1,1,1,1,1,2,1
fuse23_mixed_outputs,Fusion+Shared,4,0.003816,1,0,0,0,1,1,1,1,1,2,1
fuse23_mixed_outputs,Fusion+Shared,8,0.003822,1,0,0,0,1,1,1,1,1,2,1
