benchmark,baseline,candidate,fusion_applied_pairs,fusion_applied,delta_speedup_2t,time_ratio_2t,fusion_helps_2t,delta_speedup_4t,time_ratio_4t,fusion_helps_4t,delta_speedup_8t,time_ratio_8t,fusion_helps_8t,fusion_helps_any
atax,Fusion,Fusion+Shared,0.0,0,-0.020000000000000018,0.9032258064516129,0,0.17999999999999994,1.0555555555555556,0,0.1399999999999999,1.0454545454545454,0,0
bicg,Original,Fusion,0.0,0,0.10999999999999999,1.0,0,0.17999999999999994,1.0,0,0.09000000000000008,0.9491525423728814,0,0
bicg,Original,Fusion+Shared,0.0,0,-0.09999999999999998,0.989247311827957,0,-0.1499999999999999,1.0,0,-0.16999999999999993,0.9824561403508771,0,0
bicg,Fusion,Fusion+Shared,0.0,0,-0.20999999999999996,0.989247311827957,0,-0.32999999999999985,1.0,0,-0.26,1.0350877192982455,0,0
cholesky,Original,Fusion,0.0,0,0.28,1.3490196078431371,0,0.020000000000000018,1.0251256281407035,0,-0.010000000000000009,1.0049751243781095,0,0
cholesky,Original,Fusion+Shared,0.0,0,0.0,1.0,0,-0.039999999999999813,0.9807692307692308,0,0.0,1.01,0,0
cholesky,Fusion,Fusion+Shared,0.0,0,-0.28,0.7412790697674418,0,-0.05999999999999983,0.9567307692307694,0,0.010000000000000009,1.005,0,0
correlation,Original,Fusion,0.0,0,-0.41000000000000003,0.975877192982456,0,-0.5899999999999999,1.0143884892086332,0,-0.5799999999999998,1.0216606498194944,0,0
correlation,Original,Fusion+Shared,0.0,0,-0.4,0.9590517241379309,0,-0.54,1.010752688172043,0,-0.52,1.029090909090909,0,0
correlation,Fusion,Fusion+Shared,0.0,0,0.010000000000000009,0.9827586206896552,0,0.04999999999999982,0.996415770609319,0,0.05999999999999983,1.0072727272727273,0,0
covariance,Original,Fusion,0.0,0,-0.030000000000000027,1.002169197396963,0,-0.040000000000000036,1.0,0,-0.040000000000000036,1.0,0,0
covariance,Original,Fusion+Shared,0.0,0,-0.07999999999999996,1.0,0,-0.10999999999999988,1.0108695652173914,0,-0.1399999999999999,0.9963636363636362,0,0
covariance,Fusion,Fusion+Shared,0.0,0,-0.04999999999999993,0.9978354978354977,0,-0.06999999999999984,1.0108695652173914,0,-0.09999999999999987,0.9963636363636362,0,0
deriche,Original,Fusion,0.0,0,-0.38,0.9959016393442623,0,-0.6399999999999999,0.9832775919732442,0,-0.52,1.0486111111111112,0,0
deriche,Original,Fusion+Shared,0.0,0,-0.42999999999999994,1.002061855670103,0,-0.6799999999999997,1.0208333333333333,0,-0.6399999999999999,1.0272108843537415,0,0
deriche,Fusion,Fusion+Shared,0.0,0,-0.04999999999999993,1.0061855670103093,0,-0.039999999999999813,1.0381944444444444,0,-0.11999999999999988,0.979591836734694,0,0
doitgen,Original,Fusion,0.0,0,-0.4700000000000001,1.0135869565217392,0,-0.8200000000000001,0.9954545454545455,0,-0.79,1.0137614678899083,0,0
doitgen,Original,Fusion+Shared,0.0,0,-0.52,1.005390835579515,0,-0.8900000000000001,1.0045871559633028,0,-0.8700000000000001,1.0184331797235024,0,0
doitgen,Fusion,Fusion+Shared,0.0,0,-0.04999999999999993,0.9919137466307277,0,-0.07000000000000006,1.0091743119266054,0,-0.08000000000000007,1.0046082949308757,0,0
durbin,Original,Fusion,0.0,0,-0.6600000000000001,0.7619047619047619,0,-0.42000000000000015,1.0769230769230769,0,-0.54,1.0,0,0
durbin,Original,Fusion+Shared,0.0,0,-0.5700000000000001,0.7999999999999999,0,-0.3400000000000001,1.0769230769230769,0,-0.6299999999999999,0.8666666666666666,0,0
durbin,Fusion,Fusion+Shared,0.0,0,0.09000000000000008,1.0499999999999998,0,0.08000000000000007,1.0,0,-0.08999999999999986,0.8666666666666666,0,0
fdtd-2d,Original,Fusion,0.0,0,-0.42999999999999994,1.0,0,-0.6699999999999997,1.0185185185185184,0,-0.6499999999999999,1.031055900621118,0,0
fdtd-2d,Original,Fusion+Shared,0.0,0,-0.39,1.0036764705882353,0,-0.6299999999999999,1.0060975609756098,0,-0.6100000000000001,1.01840490797546,0,0
fdtd-2d,Fusion,Fusion+Shared,0.0,0,0.039999999999999925,1.0036764705882353,0,0.039999999999999813,0.9878048780487805,0,0.039999999999999813,0.9877300613496933,0,0
floyd-warshall,Original,Fusion,0.0,0,-0.12,1.0260186548846342,0,-0.21999999999999997,1.0030816640986133,0,-0.22999999999999998,1.004704037632301,0,0
floyd-warshall,Original,Fusion+Shared,0.0,0,-0.13,1.0002392916965779,0,-0.18999999999999995,1.0100853374709076,0,-0.20000000000000018,1.0098502758077228,0,0
floyd-warshall,Fusion,Fusion+Shared,0.0,0,-0.010000000000000009,0.9748743718592965,0,0.030000000000000027,1.0069821567106283,0,0.029999999999999805,1.0051221434200157,0,0
gemm,Original,Fusion,0.0,0,-0.41999999999999993,1.0,0,-0.7999999999999998,0.9322033898305085,0,-0.7599999999999998,0.9491525423728814,0,0
gemm,Original,Fusion+Shared,0.0,0,-0.35,1.0,0,-0.6499999999999999,0.9649122807017544,0,-0.6099999999999999,0.9824561403508771,0,0
gemm,Fusion,Fusion+Shared,0.0,0,0.06999999999999995,1.0,0,0.1499999999999999,1.0350877192982455,0,0.1499999999999999,1.0350877192982455,0,0
gemver,Original,Fusion,0.0,0,-0.07999999999999985,1.4375,0,-0.51,1.1111111111111112,0,-0.6100000000000001,1.0357142857142858,0,0
gemver,Original,Fusion+Shared,0.0,0,-0.3899999999999999,1.0,0,-0.52,1.0714285714285714,0,-0.5800000000000001,1.0357142857142858,0,0
gemver,Fusion,Fusion+Shared,0.0,0,-0.31000000000000005,0.6956521739130435,0,-0.010000000000000009,0.9642857142857143,0,0.030000000000000027,1.0,0,0
gesummv,Original,Fusion,0.0,0,-0.4099999999999999,1.0,0,-0.6599999999999999,1.0,0,-0.55,1.0606060606060603,0,0
gesummv,Original,Fusion+Shared,0.0,0,-0.3899999999999999,1.0188679245283019,0,-0.6599999999999999,1.0,0,-0.5900000000000001,1.0294117647058822,0,0
gesummv,Fusion,Fusion+Shared,0.0,0,0.020000000000000018,1.0188679245283019,0,0.0,1.0,0,-0.040000000000000036,0.9705882352941178,0,0
gramschmidt,Original,Fusion,0.0,0,-0.05999999999999994,1.0018181818181817,0,-0.10999999999999988,0.9909090909090909,0,-0.09000000000000008,1.0093457943925235,0,0
